EXTF;141;16;Debitoren/Kreditoren;1;2,02E+16;0;;;;1;1;20200101;4;20200101;20200101;Personenkonten vom 01.01.2020 00:00:00 bis 01.01.2020 00:00:00;LJ;1;0;0;EUR
1428;S;EUR;1;;;10133;8410;;7122021;R202110325;;;Stiller Alarm Health Check Paket S (halbjährliche Prüfung)..;;;;;;;;
2142;S;EUR;1;;;35215;8410;;7122021;R202110326;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022-31.12.202..;;;;;;;;
362,36;S;EUR;1;;;35008;8410;;7122021;R202110327;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
3217,46;S;EUR;1;;;35280;8410;;8122021;R202110328;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2021 - 31.12.2..;;;;;;;;
517,65;S;EUR;1;;;35172;8410;;8122021;R202110329;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2021 - 31.12.2..;;;;;;;;
3882,38;S;EUR;1;;;34661;8410;;8122021;R202110330;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
1918,28;S;EUR;1;;;37038;8410;;8122021;R202110331;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
1076,71;S;EUR;1;;;34656;8410;;8122021;R202110332;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
3748,5;S;EUR;1;;;34829;8410;;8122021;R202110333;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
196,71;S;EUR;1;;;10129;8410;;8122021;R202110335;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
595;S;EUR;1;;;37153;8410;;8122021;R202110334;;;Stiller Alarm Health Check Paket S (halbjährliche Prüfung)..;;;;;;;;
1050,83;S;EUR;1;;;35129;8410;;9122021;R202110336;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
2570,4;S;EUR;1;;;35010;8410;;9122021;R202110337;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
1552,95;S;EUR;1;;;35473;8410;;9122021;R202110338;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
3105,9;S;EUR;1;;;34851;8410;;9122021;R202110339;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
709,54;S;EUR;1;;;34726;8410;;10122021;R202110340;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
160,47;S;EUR;1;;;35212;8410;;10122021;R202110341;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
51,77;S;EUR;1;;;35456;8410;;10122021;R202110342;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
2481,15;S;EUR;1;;;37157;8410;;10122021;R202110343;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
129,41;S;EUR;1;;;35471;8410;;10122021;R202110344;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
2588,25;S;EUR;1;;;34837;8410;;10122021;R202110345;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
1309;S;EUR;1;;;35414;8410;;10122021;R202110346;;;Stiller Alarm Health Check Paket S (halbjährliche Prüfung)..;;;;;;;;
258,83;S;EUR;1;;;10142;8410;;14122021;R202110347;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
336,47;S;EUR;1;;;35441;8410;;15122021;R202110348;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
517,65;S;EUR;1;;;35234;8410;;16122021;R202110349;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
595;S;EUR;1;;;37229;8409;;20122021;R202110350;;;Lizenzpaket für bis zu 15 Standard-Lizenzen inklusive 1 J..;;;;;;;;
345,1;S;EUR;1;;;37229;8409;;20122021;R202110350;;;Stiller Alarm Standard Lizenz Support im 1. Jahr inklus..;;;;;;;;
64,26;S;EUR;1;;;37229;8412;;20122021;R202110350;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..;;;;;;;;
828,24;S;EUR;1;;;37230;8409;;20122021;R202110351;;;Stiller Alarm Standard Lizenz;;;;;;;;
124,24;S;EUR;1;;;37230;8410;;20122021;R202110351;;;Standard-Support Laufzeit: 1 Jahr ab Bestellung 15% vom ..;;;;;;;;
595;S;EUR;1;;;37230;8401;;20122021;R202110351;;;#NAME?;;;;;;;;
21,42;S;EUR;1;;;37230;8412;;20122021;R202110351;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..;;;;;;;;
1285,2;S;EUR;1;;;37144;8410;;20122021;R202110352;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
502,78;S;EUR;1;;;34574;8411;;21122021;R202110353;;;Projektunterstützung Kilian Stange European IT Consultanc..;;;;;;;;
7696,33;S;EUR;1;;;34574;8411;;21122021;R202110353;;;Projektunterstützung Kilian Stange T-Systems Multimedia S..;;;;;;;;
232,05;S;EUR;1;;;34574;8411;;21122021;R202110353;;;Projektunterstützung Kilian Stange IHK Berlin - Softwarep..;;;;;;;;
3480,75;S;EUR;1;;;34574;8411;;21122021;R202110354;;;Projektunterstützung Jan Lademacher T-Systems Multimedia ..;;;;;;;;
8315,13;S;EUR;1;;;34574;8411;;21122021;R202110354;;;Projektunterstützung Jan Lademacher European IT Consultan..;;;;;;;;
3422,74;S;EUR;1;;;34574;8411;;21122021;R202110355;;;Projektunterstützung Bogdana Bondarenko Königsteiner digi..;;;;;;;;
77,35;S;EUR;1;;;34574;8411;;21122021;R202110356;;;Projektunterstützung Sebastian Doil T-Systems Multimedia ..;;;;;;;;
6961,5;S;EUR;1;;;34574;8411;;21122021;R202110356;;;Projektunterstützung Sebastian Doil msg services - BA-FK ..;;;;;;;;
3332;S;EUR;1;;;37049;8412;;30122021;R202110357;;;USB-Button (Alarmknopf) vorprogrammierte Tastenkombinatio..;;;;;;;;
3570;S;EUR;1;;;37049;8412;;30122021;R202110357;;;mobiler Alarmsender für Räume mit und ohne PC inklusive 5..;;;;;;;;
155,3;S;EUR;1;;;37159;8410;;30122021;R202110358;;;Standard-Support Laufzeit: 1 Jahr ab 01.01.2022 - 31.12.2..;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
****************** Customer *******************;;;;;;;;;;;;;;;;;;;;;
Customer;VATID;DebitorID;CustomerID;;;;;;;;;;;;;;;;;;
Stadtverwaltung Teltow;;;35172;;;;;;;;;;;;;;;;;;
Stadt Lippstadt;;;34726;;;;;;;;;;;;;;;;;;
Landkreis Mansfeld-Südharz;;;34837;;;;;;;;;;;;;;;;;;
Stadt Haltern am See;;;35008;;;;;;;;;;;;;;;;;;
Gemeinde Gangelt;;;35456;;;;;;;;;;;;;;;;;;
Zweckverband Digitale Kommunen Brandenburg (DIKOM);;;37049;;;;;;;;;;;;;;;;;;
Stadt Waren (Müritz) - Hauptamt;;;37223;;;;;;;;;;;;;;;;;;
Stadtverwaltung Königswinter;;;10133;;;;;;;;;;;;;;;;;;
Stadt Köln;;;35010;;;;;;;;;;;;;;;;;;
Landratsamt Mittelsachsen;;;34851;;;;;;;;;;;;;;;;;;
Landratsamt Neckar-Odenwald-Kreis;;;34656;;;;;;;;;;;;;;;;;;
JAEMACOM GmbH;DE259800582;;34574;;;;;;;;;;;;;;;;;;
Landratsamt Calw;;;37038;;;;;;;;;;;;;;;;;;
Stadt Trostberg;;;37153;;;;;;;;;;;;;;;;;;
Landratsamt Meißen;;;35414;;;;;;;;;;;;;;;;;;
Stadtverwaltung Metzingen;;;35138;;;;;;;;;;;;;;;;;;
Studierendenwerk Dortmund AöR;;;37224;;;;;;;;;;;;;;;;;;
Amt Bordesholm;;;34898;;;;;;;;;;;;;;;;;;
Landkreis Rotenburg;;;35215;;;;;;;;;;;;;;;;;;
Stadt Schönebeck (Elbe);;;35129;;;;;;;;;;;;;;;;;;
Hochschule Emden/Leer;;;35471;;;;;;;;;;;;;;;;;;
Landratsamt Schwandorf;;;37144;;;;;;;;;;;;;;;;;;
Stadtverwaltung Albstadt;;;34862;;;;;;;;;;;;;;;;;;
Stadt Hamm;;;35280;;;;;;;;;;;;;;;;;;
Landratsamt Erlangen-Höchstadt;;;34829;;;;;;;;;;;;;;;;;;
Amt Barth;;;35441;;;;;;;;;;;;;;;;;;
Stadt Aichach;;;35234;;;;;;;;;;;;;;;;;;
Stadt Pfullendorf;;;37226;;;;;;;;;;;;;;;;;;
AWO Kreisverband Bielefeld e.V.;;;10142;;;;;;;;;;;;;;;;;;
Stadt Brühl;;;35473;;;;;;;;;;;;;;;;;;
Stadtwerke Dachau;;;10129;;;;;;;;;;;;;;;;;;
MDEML du Grand Nancy;;;37203;;;;;;;;;;;;;;;;;;
Landkreis Aurich;;;34661;;;;;;;;;;;;;;;;;;
Stadtverwaltung Geseke;;;35212;;;;;;;;;;;;;;;;;;
Gemeinde Schonungen;;;37159;;;;;;;;;;;;;;;;;;
gkd-el – Betriebsbreich 3;;;37157;;;;;;;;;;;;;;;;;;
KTG Karlsruhe Tourismus GmbH;;;37229;;;;;;;;;;;;;;;;;;
Stadtverwaltung Stadtroda;;;37230;;;;;;;;;;;;;;;;;;
